,Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,media views,media engagements,date,time_extracted,Day,Month,Year
17,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc #ut,3423723845271090,2020-06-30 09:48:00+00:00,37.0,2.0,0.054054054,0.0,1,0.0,0.0,0,0,1,0.0,0.0,2020-06-30,09:48,30,6,2020
18,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #pede,9654780253763180,2020-06-30 09:42:00+00:00,63.0,1.0,0.015873016,0.0,1,0.0,0.0,0,0,0,0.0,0.0,2020-06-30,09:42,30,6,2020
19,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #pretium,310357079126637,2020-06-30 09:41:00+00:00,50.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-30,09:41,30,6,2020
20,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie #id,297132001634314,2020-06-30 09:39:00+00:00,104.0,2.0,0.019230769,0.0,0,2.0,0.0,0,0,0,0.0,0.0,2020-06-30,09:39,30,6,2020
21,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #in,6655019513888310,2020-06-30 09:32:00+00:00,170.0,4.0,0.023529412,0.0,0,3.0,0.0,0,0,1,0.0,0.0,2020-06-30,09:32,30,6,2020
22,lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum #at,1688783569958440,2020-06-30 09:32:00+00:00,925.0,21.0,0.022702703,0.0,1,7.0,2.0,0,6,5,0.0,0.0,2020-06-30,09:32,30,6,2020
23,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id #tortor,7123232127275090,2020-06-30 09:05:00+00:00,253.0,28.0,0.110671937,0.0,1,3.0,0.0,0,3,2,19.0,19.0,2020-06-30,09:05,30,6,2020
24,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat #sem,8153352925192020,2020-06-30 09:02:00+00:00,52.0,3.0,0.057692308,0.0,0,3.0,0.0,0,0,0,12.0,0.0,2020-06-30,09:02,30,6,2020
25,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at #sit,4001771679746180,2020-06-30 09:00:00+00:00,65.0,5.0,0.076923077,0.0,2,3.0,0.0,0,0,0,0.0,0.0,2020-06-30,09:00,30,6,2020
26,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum #molestie,332228473141166,2020-06-30 08:55:00+00:00,215.0,5.0,0.023255814,0.0,0,4.0,0.0,0,0,1,0.0,0.0,2020-06-30,08:55,30,6,2020
27,mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque #nisl,5531332295209850,2020-06-30 08:46:00+00:00,172.0,10.0,0.058139535,0.0,1,2.0,5.0,0,0,2,0.0,0.0,2020-06-30,08:46,30,6,2020
28,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non #viverra,1808209517384320,2020-06-30 08:42:00+00:00,792.0,37.0,0.046717172,1.0,0,16.0,2.0,0,7,8,196.0,3.0,2020-06-30,08:42,30,6,2020
29,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae #turpis,2114235240833290,2020-06-30 08:36:00+00:00,117.0,3.0,0.025641026,0.0,0,3.0,0.0,0,0,0,20.0,0.0,2020-06-30,08:36,30,6,2020
30,arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in #eu,3311262268098050,2020-06-30 08:24:00+00:00,604.0,21.0,0.034768212,0.0,0,5.0,0.0,0,2,0,14.0,14.0,2020-06-30,08:24,30,6,2020
31,eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo #amet,763729051734539,2020-06-30 08:13:00+00:00,593.0,18.0,0.030354132,0.0,0,10.0,4.0,0,4,0,113.0,0.0,2020-06-30,08:13,30,6,2020
32,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis #erat,2766933668367450,2020-06-30 01:36:00+00:00,657.0,3.0,0.00456621,0.0,0,1.0,0.0,0,0,2,0.0,0.0,2020-06-30,01:36,30,6,2020
33,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem #turpis,1951505405544420,2020-06-30 01:34:00+00:00,436.0,12.0,0.027522936,0.0,2,9.0,0.0,0,0,1,0.0,0.0,2020-06-30,01:34,30,6,2020
34,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum #sapien,3063248263372960,2020-06-29 23:36:00+00:00,2685.0,19.0,0.00707635,0.0,3,4.0,0.0,0,0,12,0.0,0.0,2020-06-29,23:36,29,6,2020
35,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla #vel,9844272566942880,2020-06-29 21:23:00+00:00,98.0,1.0,0.010204082,0.0,0,0.0,0.0,0,0,1,0.0,0.0,2020-06-29,21:23,29,6,2020
36,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra #potenti,681935023745685,2020-06-29 18:55:00+00:00,542.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-29,18:55,29,6,2020
37,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit #rhoncus,1526132899531480,2020-06-29 18:12:00+00:00,345.0,14.0,0.04057971,0.0,1,0.0,2.0,9,0,2,0.0,0.0,2020-06-29,18:12,29,6,2020
38,pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla #ac,5875144880118300,2020-06-29 18:09:00+00:00,782.0,130.0,0.166240409,0.0,2,1.0,1.0,2,0,10,114.0,114.0,2020-06-29,18:09,29,6,2020
39,quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at #nisi,5290469557878100,2020-06-29 17:54:00+00:00,502.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-29,17:54,29,6,2020
40,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi #nullam,3312261663686840,2020-06-29 17:54:00+00:00,250.0,1.0,0.004,0.0,0,1.0,0.0,0,0,0,0.0,0.0,2020-06-29,17:54,29,6,2020
41,venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam #elit,6317238359551280,2020-06-29 17:52:00+00:00,486.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-29,17:52,29,6,2020
42,ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id #blandit,2002971247095610,2020-06-29 17:52:00+00:00,280.0,5.0,0.017857143,0.0,1,1.0,0.0,0,0,3,0.0,0.0,2020-06-29,17:52,29,6,2020
43,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est #et,9203276667351800,2020-06-29 15:00:00+00:00,2739.0,50.0,0.018254838,3.0,1,10.0,3.0,0,0,11,820.0,22.0,2020-06-29,15:00,29,6,2020
44,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum #sed,2949016450053900,2020-06-29 14:43:00+00:00,121.0,4.0,0.033057851,0.0,0,4.0,0.0,0,0,0,31.0,0.0,2020-06-29,14:43,29,6,2020
45,odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas #quis,9547121569966330,2020-06-29 13:46:00+00:00,234.0,2.0,0.008547009,0.0,1,1.0,0.0,0,0,0,0.0,0.0,2020-06-29,13:46,29,6,2020
46,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo #quis,495688839752043,2020-06-29 12:40:00+00:00,1195.0,41.0,0.034309623,4.0,0,8.0,2.0,9,1,8,9.0,9.0,2020-06-29,12:40,29,6,2020
47,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #volutpat,1793553645400030,2020-06-29 11:35:00+00:00,68.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,13.0,0.0,2020-06-29,11:35,29,6,2020
48,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit #vivamus,6066736417423050,2020-06-29 01:56:00+00:00,319.0,10.0,0.031347962,0.0,0,7.0,3.0,0,0,0,0.0,0.0,2020-06-29,01:56,29,6,2020
49,quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci #tempor,716822335237892,2020-06-29 00:46:00+00:00,320.0,7.0,0.021875,0.0,1,1.0,1.0,0,0,4,0.0,0.0,2020-06-29,00:46,29,6,2020
50,lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in #aenean,8538568466185280,2020-06-28 22:42:00+00:00,134.0,8.0,0.059701493,0.0,1,5.0,0.0,0,0,2,0.0,0.0,2020-06-28,22:42,28,6,2020
51,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id #eros,7324048451073410,2020-06-28 20:55:00+00:00,153.0,2.0,0.013071895,0.0,1,1.0,0.0,0,0,0,0.0,0.0,2020-06-28,20:55,28,6,2020
52,massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in #sodales,2805951908443000,2020-06-28 17:47:00+00:00,1925.0,239.0,0.124155844,3.0,1,10.0,1.0,1,0,23,200.0,200.0,2020-06-28,17:47,28,6,2020
53,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas #lacinia,6711825733201660,2020-06-28 15:44:00+00:00,257.0,1.0,0.003891051,0.0,0,1.0,0.0,0,0,0,0.0,0.0,2020-06-28,15:44,28,6,2020
54,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse #primis,9978158588228040,2020-06-28 15:30:00+00:00,325.0,6.0,0.018461538,0.0,0,4.0,0.0,0,0,0,73.0,2.0,2020-06-28,15:30,28,6,2020
55,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis #a,6217315274047590,2020-06-28 15:19:00+00:00,765.0,11.0,0.014379085,0.0,1,5.0,1.0,0,0,4,110.0,0.0,2020-06-28,15:19,28,6,2020
56,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna #vel,8231821074174750,2020-06-27 19:01:00+00:00,236.0,14.0,0.059322034,0.0,0,2.0,0.0,0,0,12,0.0,0.0,2020-06-27,19:01,27,6,2020
57,sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl #orci,9570816565357870,2020-06-27 17:55:00+00:00,151.0,2.0,0.013245033,0.0,1,0.0,0.0,0,0,1,0.0,0.0,2020-06-27,17:55,27,6,2020
58,vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum #nulla,380001636121211,2020-06-27 15:32:00+00:00,5.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-27,15:32,27,6,2020
59,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar #curabitur,4425374971252640,2020-06-27 15:05:00+00:00,287.0,12.0,0.041811847,0.0,0,5.0,0.0,0,0,6,38.0,1.0,2020-06-27,15:05,27,6,2020
60,dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes #placerat,8209924363611060,2020-06-27 14:16:00+00:00,22.0,2.0,0.090909091,0.0,0,2.0,0.0,0,0,0,0.0,0.0,2020-06-27,14:16,27,6,2020
61,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et #cras,3133980848542310,2020-06-27 01:31:00+00:00,2408.0,40.0,0.016611296,0.0,2,15.0,2.0,0,0,21,0.0,0.0,2020-06-27,01:31,27,6,2020
62,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat #amet,2141257999420150,2020-06-26 21:43:00+00:00,551.0,1.0,0.001814882,0.0,0,1.0,0.0,0,0,0,0.0,0.0,2020-06-26,21:43,26,6,2020
63,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi #quam,9207988447294870,2020-06-26 21:42:00+00:00,225.0,8.0,0.035555556,0.0,1,3.0,0.0,0,0,4,0.0,0.0,2020-06-26,21:42,26,6,2020
64,metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #non,8462521030797950,2020-06-26 21:35:00+00:00,171.0,5.0,0.029239766,0.0,1,1.0,0.0,0,0,1,47.0,2.0,2020-06-26,21:35,26,6,2020
65,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper #sem,2528983238934750,2020-06-26 21:26:00+00:00,110.0,7.0,0.063636364,0.0,1,1.0,3.0,2,0,0,0.0,0.0,2020-06-26,21:26,26,6,2020
66,nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque #velit,6888512031913890,2020-06-26 20:59:00+00:00,866.0,194.0,0.224018476,0.0,0,18.0,2.0,1,0,13,160.0,160.0,2020-06-26,20:59,26,6,2020
67,nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor #posuere,3651418391136910,2020-06-26 20:03:00+00:00,11496.0,1065.0,0.092640919,1.0,6,37.0,37.0,4,4,78,898.0,898.0,2020-06-26,20:03,26,6,2020
68,mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas #donec,5728100805173670,2020-06-26 19:32:00+00:00,1073.0,91.0,0.084808947,0.0,0,12.0,3.0,15,3,1,57.0,57.0,2020-06-26,19:32,26,6,2020
69,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet #mi,8768676374555830,2020-06-26 18:46:00+00:00,276.0,4.0,0.014492754,0.0,1,2.0,0.0,0,0,1,0.0,0.0,2020-06-26,18:46,26,6,2020
70,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo #cum,342503103565497,2020-06-26 18:08:00+00:00,56.0,3.0,0.053571429,0.0,1,1.0,0.0,0,0,1,0.0,0.0,2020-06-26,18:08,26,6,2020
71,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non #a,2374509166209140,2020-06-26 17:51:00+00:00,131.0,4.0,0.030534351,0.0,0,1.0,0.0,0,0,0,27.0,3.0,2020-06-26,17:51,26,6,2020
72,donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce #vestibulum,9169608178925490,2020-06-26 17:35:00+00:00,161.0,4.0,0.02484472,0.0,0,1.0,1.0,0,0,2,0.0,0.0,2020-06-26,17:35,26,6,2020
73,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient #ante,3959150308916750,2020-06-26 14:38:00+00:00,316.0,8.0,0.025316456,0.0,1,2.0,1.0,0,0,4,0.0,0.0,2020-06-26,14:38,26,6,2020
74,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla #quis,9090902954472740,2020-06-25 17:43:00+00:00,449.0,9.0,0.020044543,0.0,1,4.0,0.0,0,0,4,0.0,0.0,2020-06-25,17:43,25,6,2020
75,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris #sed,4150238106296920,2020-06-25 16:55:00+00:00,1244.0,38.0,0.030546624,1.0,3,4.0,4.0,0,2,21,236.0,3.0,2020-06-25,16:55,25,6,2020
76,lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac #tempor,2338249630547120,2020-06-25 13:27:00+00:00,329.0,7.0,0.021276596,0.0,0,2.0,0.0,0,0,3,47.0,2.0,2020-06-25,13:27,25,6,2020
77,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est #sit,2059973029050930,2020-06-25 13:25:00+00:00,381.0,18.0,0.047244094,0.0,0,1.0,1.0,14,0,2,0.0,0.0,2020-06-25,13:25,25,6,2020
78,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere #neque,9765236752576140,2020-06-25 13:20:00+00:00,308.0,2.0,0.006493506,0.0,0,1.0,1.0,0,0,0,77.0,0.0,2020-06-25,13:20,25,6,2020
79,congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque #nec,6098054349056560,2020-06-24 20:49:00+00:00,117.0,3.0,0.025641026,0.0,0,1.0,0.0,0,0,2,0.0,0.0,2020-06-24,20:49,24,6,2020
80,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna #odio,1297180946707940,2020-06-24 19:51:00+00:00,28.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-24,19:51,24,6,2020
81,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor eu #pellentesque,1160472257164250,2020-06-24 18:45:00+00:00,307.0,12.0,0.039087948,0.0,2,2.0,1.0,1,0,6,102.0,0.0,2020-06-24,18:45,24,6,2020
82,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis #mauris,7715219037616160,2020-06-24 18:39:00+00:00,477.0,6.0,0.012578616,0.0,0,2.0,1.0,0,0,1,194.0,2.0,2020-06-24,18:39,24,6,2020
83,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu #malesuada,783579603336683,2020-06-24 18:23:00+00:00,585.0,13.0,0.022222222,0.0,0,7.0,0.0,0,0,6,0.0,0.0,2020-06-24,18:23,24,6,2020
84,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat #tellus,3004967046773660,2020-06-24 18:23:00+00:00,1592.0,217.0,0.136306533,1.0,3,3.0,2.0,0,0,80,128.0,128.0,2020-06-24,18:23,24,6,2020
85,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis #ligula,5606932223940940,2020-06-24 17:14:00+00:00,676.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,2020-06-24,17:14,24,6,2020
86,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien #suscipit,5033631152125020,2020-06-24 15:02:00+00:00,870.0,3.0,0.003448276,0.0,1,2.0,0.0,0,0,0,0.0,0.0,2020-06-24,15:02,24,6,2020
87,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus #elit,8961163071048110,2020-06-24 13:23:00+00:00,171.0,6.0,0.035087719,0.0,0,0.0,0.0,0,0,0,40.0,6.0,2020-06-24,13:23,24,6,2020
